fec.gov
title,Two Year Summary
description,2016 Other Committees Contributions
timestamp,Mon Mar 07 05:41:55 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cand_id,P00003392
cand_nm,CLINTON, HILLARY RODHAM
"Contributor Name","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"4 MA PAC","","DEDHAM","MA","02026","06/30/2015","$2,500.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611897","18K","C00543504","","P",
"ABSOLUTE ENERGY PAC","","SAINT ANSGAR","IA","50472","08/04/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200107","18K","C00455048","","P",
"ADAM SMITH FOR CONGRESS COMMITTEE","","RENTON","WA","98057","09/30/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200111","18K","C00304709","","P",
"AL FRANKEN FOR SENATE","","MINNEAPOLIS","MN","55458","10/26/2015","$2,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270781","18K","C00570960","S8MN00438","P",
"AL FRANKEN FOR SENATE","","MINNEAPOLIS","MN","55458","10/26/2015","$2,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270787","18K","C00570960","S8MN00438","P",
"AL GREEN FOR CONGRESS","","HOUSTON","TX","77027","06/30/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611924","18K","C00396028","H4TX09095","P",
"ALBEMARLE CORPORATION PAC","","BATON ROUGE","LA","70801","09/24/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200089","18K","C00377333","","P",
"ALEX SINK FOR CONGRESS","","THONOTOSASSA","FL","33592","10/29/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270800","18K","C00551226","H4FL13093","P",
"ALFONSO NEVAREZ JR. CAMPAIGN ACCOUNT","FEDERALLY PERMISSIBLE FUNDS","EAGLE PASS","TX","78852","08/20/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200100","","","","P",
"ALL AMERICA PAC","","INDIANAPOLIS","IN","46204","04/23/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611917","18K","C00344788","","P",
"ALVAREZ & MARSAL HOLDINGS, LLC PAC","","WASHINGTON","DC","20004","10/05/2015","$2,300.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270774","18K","C00489948","","P",
"ALVAREZ & MARSAL HOLDINGS, LLC PAC","","WASHINGTON","DC","20004","06/19/2015","$2,700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611905","18K","C00489948","","P",
"AMALGAMATED BANK - PAC","","NEW YORK","NY","10001","04/10/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611897","18K","C00379693","","P",
"AMEREN FED PAC","","WASHINGTON","DC","20004","07/20/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200109","18K","C00206136","","P",
"AMERICA FORWARD LEADERSHIP FUND","","WASHINGTON","DC","20013","07/21/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200123","18K","C00403675","","P",
"AMERICA NOW","","INDIANAPOLIS","IN","46206","06/29/2015","$2,700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611932","18K","C00511196","","P",
"AMERICA WORKS PAC","","WASHINGTON","DC","20003","12/29/2015","$5,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270769","18K","C00331694","","P",
"AMERICAN FEDERATION OF TEACHERS COPE","","WASHINGTON","DC","20001","07/22/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200102","18K","C00028860","","P",
"AMERICAN SOCIETY OF CONSULTANT PHARMACISTS POLITICAL ACTION COMMITTEE","","ALEXANDRIA","VA","22314","12/14/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270763","18K","C00199547","","P",
"AMERIPAC: THE FUND FOR A GREATER AMERICA","","WASHINGTON","DC","20005","06/30/2015","$2,500.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611890","18K","C00271338","","P",
"ANA HERNANDEZ CAMPAIGN","FEDERALLY PERMISSIBLE FUNDS","HOUSTON","TX","77220","08/13/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200119","","","","P",
"ANHEUSER-BUSCH COMPANIES, INC. POLTICAL ACTION COMMITTEE","","SAINT LOUIS","MO","63118","06/30/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611919","18K","C00034488","","P",
"ANHEUSER-BUSCH COMPANIES, INC. POLTICAL ACTION COMMITTEE","","SAINT LOUIS","MO","63118","06/30/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611922","18K","C00034488","","G",
"ARKANSAS FIRST","FEDERALLY PERMISSIBLE FUNDS","SPRINGDALE","AR","72765","11/30/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270798","","","","P",
"ARMANDO L. WALLE CAMPAIGN","FEDERALLY PERMISSIBLE FUNDS","HOUSTON","TX","77222","09/29/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200114","","","","P",
"ARPAC","","BATON ROUGE","LA","70801","10/27/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270798","18K","C00226472","","P",
"ARTS AND HUMANITIES FOR AMERICA POLITICAL ACTION COMMITTEE","","WASHINGTON","DC","20005","12/03/2015","$5,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270796","18K","C00303321","","P",
"ASSOC. OF PROFESSIONAL FLIGHT ATTENDANTS PAC","","EULESS","TX","76040","09/08/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200091","18K","C00246421","","P",
"AT THE TABLE!","","FRESH MEADOWS","NY","11365","05/29/2015","$2,700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611896","18K","C00552489","","P",
